CODLOC,NOMLOC,NOMALTER,codigo_provincia_id
60799,"Emilio Ayarza","Emilio Ayerza",6
60800,Gorostiaga,NULL,6
60801,"Román Báez",NULL,6
60802,Rivas,"General Rivas",6
60803,Altamira,NULL,6
60804,"Jorge Born","Estación Tomás Jofré",6
60805,"San Eladio",NULL,6
60806,Gowland,NULL,6
60807,Agote,NULL,6
60808,Goldney,Goldey,6
60809,"Manuel J. García",NULL,6
60810,"San Jacinto",NULL,6
60811,Franklin,NULL,6
60812,"Blas Durañona",NULL,6
60813,"Lucas Monteverde",NULL,6
60814,"Martín Berraondo",NULL,6
60815,Pueblitos,NULL,6
60816,Mamaguita,NULL,6
60817,"San Enrique",NULL,6
60818,"Agustín Mosconi",NULL,6
60819,Huetel,NULL,6
60820,Islas,NULL,6
60821,"Santiago Garbarini",NULL,6
60822,"Ortiz de Rozas",NULL,6
60823,Araujo,NULL,6
60824,"Paraje Chapar",NULL,6
60825,Alzaga,NULL,6
60826,"Juan E. Barra",NULL,6
60827,"Pedro P. Lasalle",NULL,6
60828,Vásquez,NULL,6
60829,"Las Hermanas",NULL,6
60830,Voluntad,NULL,6
60831,"Santa Elena",NULL,6
60832,"San Jorge",NULL,6
60833,Paraguil,NULL,6
60834,"Teniente Coronel Miñaña",NULL,6
60835,"Colonia Nieves",NULL,6
60836,"Villa Mónica",NULL,6
60837,"Loma Negra",ojo,6
60838,"La Providencia",NULL,6
60839,"Empalme Querandíes",NULL,6
60840,"Santa Lucía",NULL,6
60841,Durañona,NULL,6
60842,Pourtale,NULL,6
60843,Muñoz,NULL,6
60844,Rocha,NULL,6
60845,Iturregui,NULL,6
60846,Recalde,NULL,6
60847,Blancagrande,"Blanca Grande",6
60848,Espigas,NULL,6
60849,Mapis,NULL,6
60850,Vallimanca,NULL,6
60851,Paula,NULL,6
60852,"Villa Lynch Pueyrredón",NULL,6
60853,"Juan F. Ibarra",NULL,6
60854,"El Porvenir",NULL,6
60855,"Mariano Unzué",NULL,6
60856,"Villa Sanz",NULL,6
60857,Hale,NULL,6
60858,"Marcelino Ugarte",NULL,6
60859,Dennehy,NULL,6
60860,Mulcahy,NULL,6
60861,"Gerente Cilley",NULL,6
60862,"Ingeniero de Madrid",NULL,6
60863,Morea,NULL,6
60864,"Santos Unzué",NULL,6
60865,Corbett,NULL,6
60866,Bacacay,NULL,6
60867,"12 de Octubre",NULL,6
60868,Norumbega,NULL,6
60869,"El Tejar",NULL,6
60870,"Ingeniero Rómulo Otamendi",NULL,6
60871,"El Jabalí",NULL,6
60872,"Ignacio Correas",NULL,6
60873,Cambaceres,NULL,6
60874,"Galo Llorente",NULL,6
60875,"La Noria",NULL,6
60876,Amalia,NULL,6
60877,Fauzon,NULL,6
60878,"Villa Fournier",NULL,6
60879,"Kilómetro  234",NULL,6
60880,"Ramón J. Neild",NULL,6
60881,"San Emilio",NULL,6
60882,Chancay,NULL,6
60883,"La Delfina",NULL,6
60884,"Quirno Costa",NULL,6
60885,Zavalía,NULL,6
60886,Olascoaga,NULL,6
60887,Asamblea,NULL,6
60888,"La Limpia",NULL,6
60889,Warnes,NULL,6
60890,Irala,NULL,6
60891,"Máximo Fernández",NULL,6
60892,Larrea,NULL,6
60893,Pla,NULL,6
60894,Emita,NULL,6
60895,Palantelén,NULL,6
60896,Baudrix,NULL,6
60897,Anderson,NULL,6
60898,"Presidente Quintana",NULL,6
60899,Achupallas,"Villa Grisolia, Est. Achupallas",6
60900,"Villa María",NULL,6
60901,"Coronel Seguí",NULL,6
60902,"Cucha Cucha",NULL,6
60903,"San Patricio",NULL,6
60904,"Ingeniero Silveyra",NULL,6
60905,"Los Angeles",NULL,6
60906,"Gregorio Villafañe",Villafañe,6
60908,Coliqueo,NULL,6
60909,Membrillar,NULL,6
60910,Berdier,NULL,6
60911,Monroe,NULL,6
60912,"Coronel Isleño",NULL,6
60913,"La Invencible",NULL,6
60914,Tacuarí,NULL,6
60916,"La Luisa",NULL,6
60917,Vagués,NULL,6
60918,"Kilómetro 108",NULL,6
60919,Espora,NULL,6
60920,Tuyuti,NULL,6
60921,"Kilómetro 125",NULL,6
60922,Azcuénaga,NULL,6
60923,"Parada Alastuey",NULL,6
60924,Ruiz,NULL,6
60925,Cucullú,"Villa Cucuyú",6
60926,"Villa Espil",NULL,6
60927,Heavy,NULL,6
60928,Escalada,NULL,6
60929,"Las Palmas",NULL,6
60930,Atucha,NULL,6
60931,"Central Nuclear Atucha",NULL,6
60934,"Ireneo Portela",NULL,6
60935,"Santa Coloma",NULL,6
60936,"Villa Depietri",NULL,6
60937,"Ingeniero Moneta",NULL,6
60938,Doyle,NULL,6
60939,"El Descanso",NULL,6
60940,"Colonia Velaz",NULL,6
60941,Obligado,"Vuelta de Obligado",6
60943,"El Paraíso",NULL,6
60945,"Campos Salles",NULL,6
60947,"López Arias","Erérezcano,Eréscano, Errezcane",6
60948,"Tambo Nuevo",NULL,6
60949,Maguire,NULL,6
60950,Manantiales,NULL,6
60951,"Gobernador Udaondo",NULL,6
60952,Fontezuela,NULL,6
60953,"La Balandra",NULL,6
60954,"Juan  Andrés de la Peña",NULL,6
60955,"Juan Pujol",NULL,6
60957,"Ortíz Basualdo",NULL,6
60958,Pinzón,NULL,6
60959,"Mariano Benítez",NULL,6
60960,"Pueblo Otero",NULL,6
60961,"Francisco Ayerza",NULL,6
60962,"12 de Agosto",NULL,6
60964,"Arroyo del Medio",NULL,6
60965,Pearson,Pearsen,6
60966,Sarasa,NULL,6
60967,"Villa M. Pomán","Estación El Arbolito",6
60968,"Guido Spano",NULL,6
60969,Hunter,NULL,6
60970,"Roberto Cano",NULL,6
60971,"Fortín Acha",NULL,6
60973,"4 de Noviembre",NULL,6
60974,"Los Indios",NULL,6
60975,"Sol de Mayo",NULL,6
60976,"La Oriental",NULL,6
60977,"Edmundo Perkins",NULL,6
60978,"Fortín Tiburcio",NULL,6
60979,Blandengues,NULL,6
60980,"Las Parvas",NULL,6
60981,"La Placette",NULL,6
60982,Saforcada,NULL,6
60983,"La Pinta",NULL,6
60984,"Kilómetro 95",NULL,6
60985,Ham,NULL,6
60986,Delgado,NULL,6
60987,"La Angelita",NULL,6
60989,"Colonia Alberdi","Alberdi Viejo",6
60990,Trigales,NULL,6
60991,"Apeadero La Lata",NULL,6
60992,Bermúdez,NULL,6
60993,Triunvirato,NULL,6
60994,Balsa,NULL,6
60995,"Las Toscas",NULL,6
60996,"Carlos Salas",NULL,6
60997,"Fortín Vigilancia",NULL,6
60998,Dussaud,NULL,6
60999,"Pazos Kanki",NULL,6
61001,"Los Callejones",NULL,6
61002,Gunther,NULL,6
61003,"El Peregrino",NULL,6
61004,"Villa Roth","Estación Ingeniero Balbin",6
61005,"Dos Hermanos",NULL,6
61006,"Diego Gaynor",NULL,6
61007,"Coronel E. Costa",NULL,6
61008,Porvenir,NULL,6
61009,"Nueva Suiza",NULL,6
61010,"Los Laureles",NULL,6
61011,Moores,NULL,6
61012,Drabble,NULL,6
61013,Volta,NULL,6
61014,Massey,"Estación Elordi",6
61015,"El Día",NULL,6
61016,Basavilbaso,"Estación Santa Eleodora",6
61017,"Villa Saboya",NULL,6
61018,Pichincha,NULL,6
61019,"Gobernador Andonaegui",NULL,6
61020,Jáuregui,NULL,6
61021,Gondra,NULL,6
61022,Pradere,NULL,6
61023,"Estación Timote",NULL,6
61024,Necol,NULL,6
61025,Encina,NULL,6
61026,Hereford,NULL,6
61027,"Estación Cuenca",NULL,6
61028,Drysdale,NULL,6
61029,"Santa Inés",NULL,6
61030,"Estación Tejedor",NULL,6
61031,Húsares,NULL,6
61032,Marucha,NULL,6
61033,Curarú,NULL,6
61034,"Esteban de Luca",NULL,6
61035,"Ingeniero Beaugey",NULL,6
61036,Cerrito,NULL,6
61037,"San Mauricio",NULL,6
61038,Sansinema,NULL,6
61039,Condarco,NULL,6
61040,"Villa Sena",NULL,6
61041,Badano,NULL,6
61042,Sundblad,NULL,6
61043,Roosevelt,NULL,6
61044,"Mira Pampa",NULL,6
61045,"Valentín Gómez",NULL,6
61046,Dorita,NULL,6
61047,"La Sofía",NULL,6
61048,Ordoqui,NULL,6
61049,Hortensia,NULL,6
61050,Bellocq,NULL,6
61051,Centenario,NULL,6
61052,Cadret,NULL,6
61053,"Gobernador Arias",NULL,6
61054,Moctezuma,NULL,6
61055,Smith,NULL,6
61056,"Mauricio Hirsch",NULL,6
61057,"San Esteban","Estación Chiclana",6
61058,"San Bernardo de Pehuajó",NULL,6
61059,"Santo Tomás",NULL,6
61060,"Las Juanitas",NULL,6
61061,"Pedro Gamen",NULL,6
61062,Ancón,NULL,6
61063,Abel,NULL,6
61064,"Inocencio Sosa",NULL,6
61065,"El Recado",NULL,6
61066,"Capitán Castro",NULL,6
61067,"María Lucila",NULL,6
61068,Alagón,NULL,6
61069,"La Cotorra",NULL,6
61070,Albarino,Albariño,6
61071,Asturias,NULL,6
61072,Magdala,Magdalena,6
61073,Girondo,Gironda,6
61074,"Nueva Plata",NULL,6
61075,Gnecco,NULL,6
61076,Larramendi,NULL,6
61077,"Primera Junta",NULL,6
61078,"Francisco Magnano",NULL,6
61079,"Francisco de Victoria",NULL,6
61080,Lértora,Lertora,6
61081,"La Zanja",NULL,6
61082,"Mari Lauquen",NULL,6
61083,"La Porteña",NULL,6
61084,Trongé,NULL,6
61085,Corazzi,NULL,6
61086,"La Carreta",NULL,6
61087,Duhan,NULL,6
61088,Girodías,NULL,6
61089,Bocayuva,NULL,6
61090,"De Bary",NULL,6
61091,Pehuelches,NULL,6
61092,"Pedro M. Moreno","Estación Ingeniero Thompson",6
61093,"Estación Calomuta",NULL,6
61094,Graciarena,NULL,6
61095,"Arroyo Venado",NULL,6
61096,Rolito,NULL,6
61097,Fatraló,NULL,6
61098,"San Fermín",NULL,6
61099,Saturno,NULL,6
61100,Alamos,NULL,6
61101,"Victorino de la Plaza",NULL,6
61102,Casey,NULL,6
61103,"Balneario Cochicó",NULL,6
